Question,Answer
Kapan Kenaikan gaji,"Gaji biasanya sudah dapat diambil diatas tanggal 5 setiap bulannya, jika gaji belum masuk diatas tanggal tersebut maka adanya permasalahan. mohon untuk segera melaporkan hal tersebut ke kantor bayar terdekat atau langsung ke kantor asabri untuk ditindaklanjuti permasalahannya."
Berapa lama proses pengajuan berkas,"Proses pengajuan berkas bervariasi lamanya, bisa 1 - 2 minggu, tergantung apakah berkas peserta sudah lengkap atau tidak. Jika proses sudah selesai maka asabri akan menelepon peserta untuk mengembalikan sk pensiun "
Apa bisa berkas persyaratan dikirim saja,"Bisa, berkas persyaratan dapat dikirim melalui pengiriman dengan alamat kantor asabri terdekat"
apa bisa berkas dikirim lewat whatapp,"bisa, peserta dapat mengirimkan berkas lewat call center cabang masing-masing. Namun peserta tetap harus mengirimkan berkas aslinya ke kantor asabri. "
berapa nominal uang yang didapatkan dari santunan biaya pemakaman SBP,"Manfaat Santunan Biaya Pemakaman Istri/ Suami (SBPI/S). Ditetapkan sebesar Rp 3.000.000,00 (tiga juta rupiah). Hak SBPI/S diberikan apabila istri/suami peserta dinikahi sebelum peserta pensiun serta telah dan masih masuk dalam tunjangan keluarga."
berapa nominal uang yang didapatkan dari Uang Duka Wafat UDW,Uang Duka Wafat (UDW) diberikan sebesar tiga kali gaji pokok terakhir.Untuk informasi lebih lanjut dapat langsung menghubungi call center Asabri atau langsung ke kantor Asabri
berapa nominal uang yang didapatkan dari Tunjangan Istri,Untuk informasi lebih lanjut dapat langsung menghubungi call center Asabri atau langsung ke kantor Asabri
berapa nominal uang yang didapatkan dari Tunjangan anak,Untuk informasi lebih lanjut dapat langsung menghubungi call center Asabri atau langsung ke kantor Asabri
Kenapa gaji yang masuk berkurang jumlahnya,"Gaji berkurang terjadi ketika tunjangan pada anak yang terputus. Mohon untuk mengingat kembali tunjangan anak, karena peserta terkadang lupa untuk memperpanjang tunjangan anak. "
bagaimana batasan pensiunan menikah lagi,"Tidak ada, namun istri dari pesserta tersebut harus hanya satu tidak boleh lebih."
Berapa call center asabri ,call center 1500 043
